STATION,COUNTY,STATE_CODE,Lat,Long
USC00098703,Tift,13,31.4461,-83.4767
USW00093837,Duval,12,30.2333,-81.6667
USC00090140,Dougherty,13,31.5339,-84.1489
USC00085076,Lake,12,28.8728,-81.7844
USC00088620,Martin,12,27.1897,-80.2397
USC00080611,Palm Beach,12,26.6928,-80.6711
USC00081276,Palm Beach,12,26.8639,-80.6256
USC00080211,Franklin,12,29.7258,-85.0206
USC00085879,Jefferson,12,30.4922,-83.7833
USC00082008,Dixie,12,29.6333,-83.1053
USC00097171,Coffee,13,31.6953,-82.9239
USW00013878,Glynn,13,31.1522,-81.3908
USC00095394,Stewart,13,32.0306,-84.7753
USC00096087,Colquitt,13,31.1769,-83.7492
USC00093538,Liberty,13,31.8694,-81.6236
USC00090253,Sumter,13,32.0306,-84.2461
USC00091463,Grady,13,30.8697,-84.2175
USC00091340,Glynn,13,31.1681,-81.5022
USC00084095,Miami-Dade,12,25.5011,-80.55
USC00087760,Miami-Dade,12,25.3867,-80.5936
USC00085184,Palm Beach,12,26.4986,-80.2161
USW00012842,Hillsborough,12,27.9619,-82.5403
USC00083163,Broward,12,26.1019,-80.2011
USW00012843,,,27.6531,-80.2428
USC00080228,DeSoto,12,27.2178,-81.8742
USC00083168,Broward,12,26.1408,-80.1061
USC00087886,Pinellas,12,27.7628,-82.6261
USW00012839,Miami-Dade,12,25.7906,-80.3164
USC00083207,St. Lucie,12,27.4419,-80.3508
USC00081306,Miami-Dade,12,25.6719,-80.1567
USC00099186,Pierce,13,31.2514,-82.3128
USC00089707,Polk,12,28.0153,-81.7331
USW00013889,Duval,12,30.4844,-81.7019
USC00082915,Putnam,12,29.755,-81.5389
USC00091500,Mitchell,13,31.1903,-84.2036
USC00099502,Camden,13,30.9592,-81.7072
USC00089176,Sarasota,12,27.1006,-82.4364
USC00086065,Sarasota,12,27.24,-82.3153
USC00087397,Charlotte,12,26.9147,-81.9969
USC00083470,Baker,12,30.2717,-82.1856
USC00085099,Suwannee,12,30.2889,-82.965
USC00089219,Indian River,12,27.6528,-80.4031
USC00080236,Highlands,12,27.1819,-81.3508
USC00080478,Polk,12,27.8861,-81.8325
USC00084289,Citrus,12,28.8028,-82.3128
USC00083874,St. Johns,12,29.7653,-81.4697
USC00085895,Glades,12,26.84,-81.0872
USC00085539,Suwannee,12,30.1064,-83.1819
USC00082944,Nassau,12,30.6669,-81.4525
USC00081978,Putnam,12,29.425,-81.5161
USC00093386,Ben Hill,13,31.7108,-83.2517
USC00092450,Randolph,13,31.7672,-84.7931
USC00084394,Hamilton,12,30.5228,-82.9447
USC00087020,Miami-Dade,12,25.5819,-80.4361
USC00087025,Taylor,12,30.0986,-83.5742
USC00080369,Highlands,12,27.5947,-81.5267
USC00089566,Gulf,12,30.1192,-85.2042
USC00081046,Hernando,12,28.6164,-82.3658
USC00088756,Leon,12,30.3961,-84.3556
USW00092811,Miami-Dade,12,25.8064,-80.1336
USC00087826,St. Johns,12,29.8858,-81.2883
USW00012859,Miami-Dade,12,25.7167,-80.2833
USC00086618,Marion,12,29.4794,-81.9681
USC00083909,Miami-Dade,12,25.8175,-80.2858
USC00092361,Worth,13,31.8453,-83.9408
USC00086880,Manatee,12,27.6089,-82.3475
USC00087851,Pasco,12,28.3378,-82.26
USC00085275,Madison,12,30.4653,-83.4022
USC00086485,Okeechobee,12,27.1508,-80.8653
USC00088824,Pinellas,12,28.1522,-82.7539
USC00088942,Brevard,12,28.6242,-80.8169
USC00084625,Osceola,12,28.2764,-81.4239
USC00086406,Collier,12,25.8603,-81.0331
USC00080945,Manatee,12,27.4467,-82.5014
USC00094429,Clinch,13,31.0767,-82.8003
USC00097808,McIntosh,13,31.3981,-81.2808
USC00086078,Collier,12,26.1653,-81.6842
USC00084210,Collier,12,26.4622,-81.4406
USC00087205,Hillsborough,12,28.0208,-82.1386
USC00084731,Columbia,12,30.1853,-82.5942
USC00097087,Sumter,13,32.0467,-84.3711
USC00092266,Crisp,13,31.985,-83.7747
USW00012897,Collier,12,26.1522,-81.7753
USC00084366,Duval,12,30.2875,-81.3928
USC00085612,Brevard,12,28.1136,-80.6539
USC00085973,Polk,12,27.9378,-81.5992
USC00084802,Polk,12,27.9922,-82.0139
USC00082229,Volusia,12,29.0097,-81.2981
USC00083956,Alachua,12,29.8286,-82.5972
USC00093754,Tattnall,13,31.9881,-81.9522
USC00094204,Jeff Davis,13,31.8878,-82.5808
USC00093465,Charlton,13,30.74,-82.1278
USC00089120,Levy,12,29.4081,-82.8189
USC00083020,Monroe,12,25.1422,-80.9144
USC00087982,Seminole,12,28.8147,-81.2778
USC00082298,Hendry,12,26.6639,-81.09
USC00089401,Hardee,12,27.5478,-81.7994
USW00013870,Bacon,13,31.5358,-82.5067
USC00081641,Lake,12,28.4558,-81.7233
USW00012815,Orange,12,28.4339,-81.325
USW00012816,Alachua,12,29.6919,-82.2756
USC00098476,Appling,13,31.7078,-82.1969
